Model,Accuracy,Negative_F1,Neutral_F1,Positive_F1,Macro_F1,Weighted_F1
Baseline (Original),0.760876878223817,0.5084398976982097,0.4431982633863965,0.8654417930929328,0.6056933180591797,0.7654609648421263
Tuned (GridSearch),0.7945167077820139,0.6247147049233779,0.3859308200544112,0.8900542627189628,0.6335665958989173,0.7833954986971586
SMOTE Balanced,0.7376653958286611,0.5761436016213086,0.37792065234436256,0.848032196896405,0.6006988169540254,0.746637868917912
Ensemble,0.7871159452792106,0.6155778894472361,0.38773975178638587,0.8853882959146117,0.6295686457160778,0.7794770350652445
